participants;   mantel lower;   mantel upper; mantel sd;   mantel average;   elsim lower;   elsim upper;   elsim sd;   elsim average
72 ;  0.9924267652370055 ;  0.9962039693978942 ;  0.0007802737753797517 ;  0.9944391897047156 ;  0.8112781954887216 ;  1.0 ;  0.0452707726571079 ;  0.9435902255639097        
73 ;  0.9914196776016164 ;  0.9963813065479067 ;  0.0010555147542942443 ;  0.9943359948435686 ;  0.831328320802005 ;  1.0 ;  0.0456692861489822 ;  0.9403057644110275
74 ;  0.9918603048543057 ;  0.9961991824786872 ;  0.0009389976136059797 ;  0.994526512010937 ;  0.8645363408521302 ;  1.0 ;  0.04056548531017315 ;  0.949454260651629
75 ;  0.9918406300698734 ;  0.9963702358250879 ;  0.001014596754711567 ;  0.9946568780194202 ;  0.8112781954887216 ;  1.0 ;  0.045773073439697616 ;  0.9422268170426065       
76 ;  0.9902911109654436 ;  0.9966402922191478 ;  0.0010148231126841283 ;  0.9947703163372974 ;  0.8112781954887216 ;  1.0 ;  0.04778529492019569 ;  0.9466296992481202       
77 ;  0.9919343095919863 ;  0.9969765870544085 ;  0.000953980483254318 ;  0.9948242412072913 ;  0.824498746867168 ;  1.0 ;  0.04297789681921309 ;  0.9462293233082706
78 ;  0.99205706443329 ;  0.9967953786117217 ;  0.000899840879803985 ;  0.9949667639248235 ;  0.8112781954887216 ;  1.0 ;  0.050836134849828754 ;  0.9427957393483709
79 ;  0.9926904661922042 ;  0.9967576469512206 ;  0.0008533784991049694 ;  0.9950741541909877 ;  0.8263157894736841 ;  1.0 ;  0.04445785628128975 ;  0.9442330827067669       
80 ;  0.9920010712407008 ;  0.9968561373923067 ;  0.0009188117422192453 ;  0.995170639445381 ;  0.8339598997493735 ;  1.0 ;  0.04266297623688607 ;  0.951610902255639
81 ;  0.9927524229474015 ;  0.9971372147272831 ;  0.0007728364304136688 ;  0.9952030450944652 ;  0.831328320802005 ;  1.0 ;  0.04119181666685851 ;  0.940359649122807
82 ;  0.9928188257958918 ;  0.9970186724024562 ;  0.0008183112668134292 ;  0.9953018727655368 ;  0.8112781954887216 ;  1.0 ;  0.047839063260897804 ;  0.9499335839598997      
83 ;  0.9930535021254857 ;  0.997672081021473 ;  0.0008449470492678933 ;  0.9955389859833024 ;  0.831328320802005 ;  1.0 ;  0.047453675220385856 ;  0.9475401002506265        
84 ;  0.9933040471411312 ;  0.9970929538069956 ;  0.0007466734794044795 ;  0.9956870290562656 ;  0.8209273182957391 ;  1.0 ;  0.03972897781165347 ;  0.949124686716792        
85 ;  0.9930316590490456 ;  0.9970568575038976 ;  0.0007066883912077232 ;  0.995667026894412 ;  0.824498746867168 ;  1.0 ;  0.04703759192724307 ;  0.9411441102756891
86 ;  0.993927524691899 ;  0.9972242189868186 ;  0.0007337983299765919 ;  0.9958083295544586 ;  0.8645363408521302 ;  1.0 ;  0.044995268898062685 ;  0.9473483709273183       
87 ;  0.9937894704423603 ;  0.9972561672322827 ;  0.0008004891446264116 ;  0.9959557142704449 ;  0.8112781954887216 ;  1.0 ;  0.044960580230051325 ;  0.9483621553884711      
88 ;  0.9944968401350803 ;  0.9969809218059482 ;  0.0006231007047975489 ;  0.9960181446896459 ;  0.8645363408521302 ;  1.0 ;  0.042392733577571 ;  0.9470369674185463
89 ;  0.9938310233187158 ;  0.9971519555897574 ;  0.0006702796315839807 ;  0.995967966908313 ;  0.8112781954887216 ;  1.0 ;  0.046306516731026585 ;  0.953531328320802        
90 ;  0.9945568221928447 ;  0.9976494110791533 ;  0.0006604113502305675 ;  0.9961778081124898 ;  0.831328320802005 ;  1.0 ;  0.0442151005196999 ;  0.9528778195488722
91 ;  0.9947682563515872 ;  0.9978646553168357 ;  0.000687917190799313 ;  0.9962179497649561 ;  0.8645363408521302 ;  1.0 ;  0.04295834427016575 ;  0.9484154135338345        
92 ;  0.9941386701914334 ;  0.9975538607515008 ;  0.0007594083107069802 ;  0.9962373410150117 ;  0.8112781954887216 ;  1.0 ;  0.050092884986884405 ;  0.9496697994987469      
93 ;  0.99437923400868 ;  0.9977098395059738 ;  0.0006406546157017588 ;  0.9963854975688173 ;  0.8645363408521302 ;  1.0 ;  0.03910938633538944 ;  0.9550958646616541
94 ;  0.9945621291061223 ;  0.9976788217686609 ;  0.0006603903908786712 ;  0.9964428938523818 ;  0.8645363408521302 ;  1.0 ;  0.0408715981110546 ;  0.9520889724310776        
95 ;  0.9937570892245143 ;  0.997738148290175 ;  0.0007293632136025003 ;  0.9964820118000336 ;  0.874310776942356 ;  1.0 ;  0.04001034840412157 ;  0.945205513784461
96 ;  0.9950720056750311 ;  0.9982887955569858 ;  0.0006092216655375594 ;  0.99665370112068 ;  0.869924812030075 ;  1.0 ;  0.041073033690169326 ;  0.9499830827067669
97 ;  0.9954171097978054 ;  0.9980995024253153 ;  0.0005406123333171842 ;  0.9967581476321159 ;  0.874310776942356 ;  1.0 ;  0.04217406372209582 ;  0.9471591478696741        
98 ;  0.9953350253093407 ;  0.9979726029946618 ;  0.0005965978141123767 ;  0.9967643901316054 ;  0.8645363408521302 ;  1.0 ;  0.04485289055399009 ;  0.951985588972431        
99 ;  0.9948729924248817 ;  0.9980645412914887 ;  0.0005970955511878852 ;  0.9969178555711403 ;  0.874310776942356 ;  1.0 ;  0.03945216564896248 ;  0.9503659147869673        
100 ;  0.9954365844071307 ;  0.9978403329192675 ;  0.0004907503653525298 ;  0.9969530253457688 ;  0.874310776942356 ;  1.0 ;  0.04268496202377245 ;  0.9570839598997494       
101 ;  0.9952149506839866 ;  0.998079738504059 ;  0.0005521612633502674 ;  0.9969740240645144 ;  0.824498746867168 ;  1.0 ;  0.045220166944701254 ;  0.9513552631578946       
102 ;  0.9952952530363076 ;  0.9979945642916961 ;  0.0005368055123205259 ;  0.9969785873423673 ;  0.831328320802005 ;  1.0 ;  0.044549416195652246 ;  0.9492875939849623      
103 ;  0.9957799884875035 ;  0.9980159527212029 ;  0.0004978550783021647 ;  0.9970416825454448 ;  0.874310776942356 ;  1.0 ;  0.04201253479257615 ;  0.953673558897243        
104 ;  0.9957979513565908 ;  0.9981640976791909 ;  0.0005061051938933035 ;  0.9971418378204365 ;  0.8645363408521302 ;  1.0 ;  0.04424053325394374 ;  0.9471058897243108      
