participants;   mantel lower;            mantel upper;          mantel sd;          mantel average;         elsim lower;          elsim upper;          elsim sd;               elsim average
23 ;            0.9487594305863517 ;    0.9805602577079882 ;  0.007171579146611335 ;  0.9695219497284707 ;  0.7640740740740742 ;  1.0 ;                  0.05441276476631104 ;  0.877440404040404
24 ;            0.9266840220326121 ;    0.9799274816236743 ;  0.007570365768399742 ;  0.9700503944262688 ;  0.7795679012345678 ;  1.0 ;                  0.047937292136365724 ;  0.8848472182138849       
25 ;            0.9531420362452322 ;    0.9801028014927786 ;  0.00542902961733201 ;  0.9715591646623342 ;  0.7981144781144779 ;  1.0 ;                  0.051876176465620566 ;  0.8883624098124098        
26 ;            0.9497863890776763 ;    0.981304631778405 ;  0.005852723753482312 ;  0.9721293046022461 ;  0.7529012345679011 ;  1.0 ;                  0.05934759290415492 ;  0.8784948532948533
27 ;            0.960565512694354 ;     0.9814618753664845 ;  0.00474329979374423 ;  0.9736290416841279 ;  0.7529012345679011 ;  1.0 ;                  0.061053308074653 ;  0.8857682459515793
28 ;            0.9634459774500097 ;    0.9865206740529551 ;  0.004817364169723595 ;  0.9758108612383823 ;  0.7795679012345678 ;  1.0 ;                  0.052931342883510285 ;  0.8804896584896585       
29 ;            0.9547086913354395 ;    0.984194592756902 ;  0.0052428192852647364 ;  0.9764829619233591 ;  0.7991638608305274 ;  1.0 ;                  0.046771078293347486 ;  0.8905491422158088       
30 ;            0.9658359795373879 ;    0.9855211065540925 ;  0.00411119895863973 ;  0.9775688588869528 ;  0.7803367003367002 ;  1.0 ;                  0.052616739210660235 ;  0.8948877585377586        
31 ;            0.9660687507956887 ;    0.9860319691424354 ;  0.004151175991431208 ;  0.9778538144304064 ;  0.7795679012345678 ;  1.0 ;                  0.05034202985358689 ;  0.8902163700497034        
32 ;            0.9664658193484438 ;    0.9863612178036474 ;  0.0037216552913890456 ;  0.978904691784743 ;  0.7981144781144779 ;  1.0 ;                  0.051827434396844584 ;  0.8973151755651755       
33 ;            0.964833666534487 ;     0.9870662227419633 ;  0.004044975839883676 ;  0.9791036451838275 ;  0.7512345679012346 ;  1.0 ;                  0.06210216241545138 ;  0.8936142937309604
34 ;            0.9686889571954915 ;    0.9873321260310807 ;  0.0038580336822196747 ;  0.9798794905348314 ;  0.7820370370370373 ;  1.0 ;                  0.05506599022658019 ;  0.8933702982202982       
35 ;            0.9710921411552511 ;    0.9868114668052019 ;  0.0035618233585058296 ;  0.9807875546043635 ;  0.7808922558922557 ;  1.0 ;                  0.0477844651626132 ;  0.897013443963444
36 ;            0.9733878211745477 ;    0.9879640589312495 ;  0.0031206980497490338 ;  0.9817009875394843 ;  0.7760774410774413 ;  1.0 ;                  0.05727215513347135 ;  0.9019204505371172       
37 ;            0.9729734520461794 ;    0.9877851161034148 ;  0.003101237885869954 ;  0.982258810565197 ;  0.789225589225589 ;  1.0 ;                   0.052423133562651165 ;  0.9070431457431457
38 ;            0.9764567840316801 ;    0.9875731823386426 ;  0.0024364583955018564 ;  0.9830887346137326 ;  0.7981144781144779 ;  1.0 ;                  0.05123073530194629 ;  0.9073042328042328       
39 ;            0.9711672055482891 ;    0.9891893904999114 ;  0.0031011470076011067 ;  0.983194776500488 ;  0.7785185185185185 ;  1.0 ;                  0.04919332391105266 ;  0.898156886323553
40 ;            0.9738838575328851 ;    0.9885499051786466 ;  0.002800398147991692 ;  0.9837513078061533 ;  0.7803367003367002 ;  1.0 ;                  0.055316461887267535 ;  0.8986016594516595       
41 ;            0.9740468843035516 ;    0.988975791890995 ;  0.0030838036988223823 ;  0.9834505670805196 ;  0.7630471380471382 ;  1.0 ;                  0.05176422918820083 ;  0.887734327400994
42 ;            0.9769314109231598 ;    0.9902193667990657 ;  0.0023999537596348214 ;  0.9849151179760065 ;  0.7629292929292929 ;  1.0 ;                  0.05015853428974685 ;  0.9009546737213404       
43 ;            0.9779908824923578 ;    0.9890735107803108 ;  0.0022616058021137056 ;  0.9851573600352573 ;  0.7803367003367002 ;  1.0 ;                  0.047866495828424845 ;  0.9145448693282027      
44 ;            0.9800767445445344 ;    0.9901580113346908 ;  0.002314836486292971 ;  0.9855558996953879 ;  0.7808922558922557 ;  1.0 ;                  0.05716050138548586 ;  0.8985725589225589        
45 ;            0.9714927020895631 ;    0.9903433707206355 ;  0.0028462331802218822 ;  0.9857144642711949 ;  0.7808922558922557 ;  1.0 ;                  0.05324682485071859 ;  0.9025479717813051       
46 ;            0.9778041528963501 ;    0.9904231181385181 ;  0.00236711611455934 ;  0.9863744430435996 ;  0.7986419753086423 ;  1.0 ;                  0.05025499772336298 ;  0.9121349206349206
